item,modelo,discriminacion,dificultad,n_categorias
SC184Q06JA,2PL,4.999995053788536,-0.2282900366343157,2
SC184Q05JA,2PL,4.303590942375083,-0.37068181700833003,2
SC184Q01JA,2PL,3.9351717536135484,0.19873487756424268,2
SC184Q02JA,2PL,3.6044021523949095,-0.09868543700448132,2
SC184Q03JA,2PL,3.129427066468168,-0.02022177260279248,2
SC183Q04JA,2PL,2.4738924707423977,0.41351869950414755,2
SC184Q04JA,2PL,2.1126365242849365,0.009267233752437683,2
SCHLTYPE,GRM,1.8684340908961343,,3
SC183Q02JA,2PL,1.8484309836298978,0.3208958817623466,2
SC184Q07JA,2PL,1.7919118700292127,-0.3008636810351606,2
SC202Q04JA,GRM,1.6720384036241829,,5
FL162Q05HA,GRM,1.642585687319625,,4
FL163Q05HA,GRM,1.6327705199212375,,4
FL171Q04JA,GRM,1.6327703677406742,,5
FL162Q03HA,GRM,1.6229464718126803,,4
FL171Q05JA,GRM,1.5640293653187767,,5
FL163Q01HA,GRM,1.5542122424587197,,4
ST338Q08JA,GRM,1.5194539384439105,,6
FL163Q04HA,GRM,1.4952926700320373,,4
FL162Q02HA,GRM,1.495285550593693,,4
FL163Q03HA,GRM,1.4854719184625147,,4
PRIVATESCH,2PL,1.4826019955991998,0.9539165887755705,2
ST338Q07JA,GRM,1.4756570234509434,,6
SC202Q03JA,GRM,1.4756556045582148,,5
ST338Q04JA,GRM,1.4668226052967888,,6
FL171Q10JA,GRM,1.4658311234923103,,5
FL162Q04HA,GRM,1.4480386728266916,,4
ST338Q05JA,GRM,1.3872684124115677,,6
FL171Q11JA,GRM,1.3479949754334417,,5
ST338Q03JA,GRM,1.34799384255557,,6
ST337Q08JA,GRM,1.318535131833806,,6
FL171Q03JA,GRM,1.289083899945814,,5
FL164Q05HA,GRM,1.2694359751860578,,3
FL162Q01HA,GRM,1.2694339011769094,,4
SRESPRES,GRM,1.2596162500497454,,6
PROGN,GRM,1.2596140849611377,,5
ISCEDP,GRM,1.259308222709645,,3
ST337Q05JA,GRM,1.2426563347659807,,6
ST337Q03JA,GRM,1.209578265590069,,6
FL164Q03HA,GRM,1.190885679351206,,3
ST254Q01JA,GRM,1.1908765049218197,,4
SC202Q01JA,GRM,1.12932507003042,,6
ST251Q03JA,GRM,1.1182044449857351,,3
FL164Q08HA,GRM,1.0828613211775517,,3
SC205Q02JA,GRM,1.063181739413019,,4
SC205Q03JA,GRM,1.0631422213601929,,4
FL164Q04HA,GRM,1.0435888770607982,,3
SC205Q07JA,GRM,1.0435584639750297,,4
FL164Q06HA,GRM,1.0337633078233472,,3
SC037Q08TA,GRM,1.0236327380929868,,3
FL171Q07JA,GRM,1.0141275801080336,,5
SC182Q08JA02,GRM,1.0141217398402125,,8
SC182Q06WA02,GRM,1.014115640682135,3.773712845093044,10
FL164Q15HA,GRM,1.0043078341217548,,3
FL162Q06HA,GRM,1.004307758585166,,4
CLSIZE,GRM,1.0042567016659691,,9
FL167Q05HA,GRM,1.0018559300070828,,4
ST251Q04JA,GRM,0.9992677338640087,,3
SC182Q07JA02,GRM,0.9944845617194836,3.9538875532535167,10
ST341Q04JA,GRM,0.9764546662173034,,4
FL164Q11HA,GRM,0.965032978974263,,3
SC217Q04JA,2PL,0.9552162172253486,2.9661894816776377,2
FL164Q16HA,GRM,0.9552122792153493,,3
MCLSIZE,GRM,0.955180064369923,,9
SC202Q08JA,GRM,0.9355673520732217,,6
GRADE,GRM,0.8962712812607985,,5
ST341Q02JA,GRM,0.8864735238795929,,4
ST341Q01JA,GRM,0.8864706515200012,,4
ST038Q05NA,GRM,0.8668182112224363,,4
SRESPCUR,GRM,0.84719217871387,,5
SC204Q05JA,GRM,0.847157711903273,,4
ST259Q01JA,GRM,0.8373810268994772,0.22161791550436297,10
FL166Q07HA,GRM,0.8373792083480504,,3
ST251D08JA,GRM,0.8373757509816045,,5
